id,name,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Group,group_n
3c6afiysmB7OnxQzzSqRfD,So Into You,spotify:track:3c6afiysmB7OnxQzzSqRfD,"Tamia, ",0.0665,0.6559999999999999,261867,0.479,0.0027199999999999998,7,0.168,-7.055,0,0.0348,184.37400000000002,4.0,0.71,dinner,0
2UXEwIOtNGUUgGdXnds8V7,Closer,spotify:track:2UXEwIOtNGUUgGdXnds8V7,"Goapele, ",0.462,0.7140000000000001,229693,0.436,0.0117,1,0.107,-6.471,1,0.0342,93.025,4.0,0.364,dinner,0
4RMIDsxooqjhLIkxhlWzLa,You,spotify:track:4RMIDsxooqjhLIkxhlWzLa,"Raheem DeVaughn, ",0.429,0.777,302187,0.654,0.0,2,0.105,-7.332999999999999,1,0.0336,124.009,4.0,0.509,dinner,0
2fE4MbwX3QGMzNaMjGVhtw,Say Yes,spotify:track:2fE4MbwX3QGMzNaMjGVhtw,"Floetry, ",0.21899999999999997,0.74,268373,0.40399999999999997,1.41e-06,5,0.128,-12.947000000000001,0,0.0761,117.887,1.0,0.431,dinner,0
7GazZcRE8uDL24PzwyUe2f,Between the Sheets,spotify:track:7GazZcRE8uDL24PzwyUe2f,"The Isley Brothers, ",0.621,0.716,338573,0.435,0.0,0,0.0662,-10.502,1,0.114,83.925,4.0,0.512,dinner,0
1Dx8rIZaXzZPvUQRF2j9hB,Sweet Lady,spotify:track:1Dx8rIZaXzZPvUQRF2j9hB,"Tyrese, ",0.233,0.588,290600,0.522,0.0,9,0.24,-6.254,0,0.0383,66.024,4.0,0.5710000000000001,dinner,0
6gsmFgUiSTuinJlScwFODv,I Love You,spotify:track:6gsmFgUiSTuinJlScwFODv,"Faith Evans, ",0.00981,0.489,267160,0.757,0.0,11,0.23399999999999999,-4.062,0,0.0926,168.00400000000002,4.0,0.557,dinner,0
0E6r8RJJE0WgS5GGsAIuBO,Nothing Has Ever Felt Like This,spotify:track:0E6r8RJJE0WgS5GGsAIuBO,"Rachelle Ferrell, ",0.336,0.41700000000000004,385312,0.23600000000000002,6.19e-06,4,0.0682,-17.719,0,0.0346,110.569,3.0,0.163,dinner,0
2lnQcP5hr4RKR63TFvnI4k,Overjoyed,spotify:track:2lnQcP5hr4RKR63TFvnI4k,"Stevie Wonder, ",0.552,0.36700000000000005,222586,0.271,0.0,10,0.147,-17.317999999999998,1,0.0316,83.07799999999999,4.0,0.163,dinner,0
1emvYBqAWFPpFUQyhBG9He,I'd Give My Life For You - Alternate Mix,spotify:track:1emvYBqAWFPpFUQyhBG9He,"Marvin Gaye, ",0.39799999999999996,0.26899999999999996,209000,0.426,0.0,0,0.275,-8.179,1,0.0351,83.152,3.0,0.243,dinner,0
7gh2v4IHnxdiwSgA6xluhe,Through The Fire,spotify:track:7gh2v4IHnxdiwSgA6xluhe,"Chaka Khan, ",0.166,0.569,286693,0.589,6.91e-06,8,0.132,-7.395,1,0.0306,130.865,4.0,0.40700000000000003,dinner,0
5oYwkqmQlYM6HXmC6psUym,I Never Wanna Live Without You,spotify:track:5oYwkqmQlYM6HXmC6psUym,"Mary J. Blige, ",0.41200000000000003,0.5660000000000001,377278,0.528,0.0,7,0.07200000000000001,-8.879,0,0.0828,136.179,4.0,0.332,dinner,0
7fa1oiFqQFhlO8ghtLIGpR,Beautiful To Me,spotify:track:7fa1oiFqQFhlO8ghtLIGpR,"Shane Filan, ",0.368,0.688,213945,0.415,0.0,2,0.11599999999999999,-8.701,1,0.0308,88.499,4.0,0.282,dinner,0
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,"Joel Adams, ",0.0118,0.513,210580,0.768,1.9399999999999997e-05,4,0.294,-4.868,0,0.0587,84.264,4.0,0.235,dinner,0
1OBlp2GgUQbPMtGNYg4Kdn,Perfect Melody,spotify:track:1OBlp2GgUQbPMtGNYg4Kdn,"Nano, ",0.125,0.693,203520,0.613,0.0,3,0.111,-6.209,1,0.0268,117.993,4.0,0.46,dinner,0
3qhobDAfBcVoOWZP8Ck8R2,Ophelia,spotify:track:3qhobDAfBcVoOWZP8Ck8R2,"The Lumineers, ",0.613,0.664,160097,0.573,0.000363,5,0.0857,-6.519,1,0.0277,76.023,4.0,0.573,dinner,0
34gCuhDGsG4bRPIf9bb02f,Thinking Out Loud,spotify:track:34gCuhDGsG4bRPIf9bb02f,"Ed Sheeran, ",0.474,0.7809999999999999,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,4.0,0.584,dinner,0
2nI6aT3cnPFoXQ1L705wcY,Some Type Of Love,spotify:track:2nI6aT3cnPFoXQ1L705wcY,"Charlie Puth, ",0.353,0.706,185608,0.589,0.0,2,0.105,-6.051,1,0.08,90.491,4.0,0.41,dinner,0
5JhtfNV7PsT5L5nrIJ4IUp,Dandelion,spotify:track:5JhtfNV7PsT5L5nrIJ4IUp,"Kacey Musgraves, ",0.359,0.581,182453,0.505,0.00131,11,0.131,-10.104,1,0.0312,79.322,4.0,0.183,dinner,0
6FOyzhp375u8DapDyQqGTh,Tiger Striped Sky,spotify:track:6FOyzhp375u8DapDyQqGTh,"Roo Panes, ",0.9440000000000001,0.473,241720,0.317,0.0124,2,0.11,-10.324000000000002,1,0.0318,139.899,4.0,0.125,dinner,0
3efYhFCibQlRplX1OP1924,Bang My Head - Radio Version,spotify:track:3efYhFCibQlRplX1OP1924,"Sweetfire, ",0.7190000000000001,0.6409999999999999,286897,0.301,4.0799999999999996e-05,4,0.126,-8.309,0,0.0278,87.984,4.0,0.124,dinner,0
3GBlLqIYgB8zWaeWDNJzdh,Capsize,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,"FRENSHIP, Emily Warren, ",0.042,0.6809999999999999,237760,0.708,0.14,5,0.682,-6.019,0,0.0304,92.993,4.0,0.359,dinner,0
1obcO5plIza6FtGmMD9ceN,Running Out - Live From The Studio / 2016,spotify:track:1obcO5plIza6FtGmMD9ceN,"Astrid S, ",0.9840000000000001,0.51,165307,0.22399999999999998,2.78e-05,10,0.145,-7.422999999999999,1,0.0624,167.805,4.0,0.337,dinner,0
10tMVFMvd9224Zcq4A5dRL,Collide - Chris Lord-Alge Mix aka Radio Edit,spotify:track:10tMVFMvd9224Zcq4A5dRL,"Howie Day, ",0.264,0.56,247707,0.76,4.32e-06,11,0.12300000000000001,-7.4079999999999995,1,0.0321,93.98100000000001,4.0,0.515,dinner,0
